(16,2,10),
(66,5,1),
(58,2,7),
(87,4,18),
(16,2,18),
(67,4,16),
(51,3,12),
(86,5,17),
(34,3,6),
(58,3,1),
(47,3,19),
(53,4,17),
(92,2,18),
(56,1,14),
(88,5,19),
(72,1,8),
(51,3,19),
(76,5,2),
(69,4,12),
(18,1,17),
(62,5,9),
(77,5,6),
(5,1,4),
(94,3,13),
(36,5,11),
(40,2,10),
(92,3,3),
(33,2,7),
(43,1,7),
(89,1,10),
(52,5,1),
(100,1,11),
(62,1,14),
(80,4,15),
(11,4,17),
(47,1,11),
(27,5,16),
(20,2,4),
(64,5,14),
(73,3,7),
(5,5,14),
(95,5,14),
(35,2,3),
(58,5,10),
(20,2,18),
(1,2,10),
(79,2,19),
(9,1,5),
(36,1,1),
(31,1,16),
(50,4,4),
(99,1,9),
(83,5,11),
(51,4,14),
(93,5,15),
(88,4,3),
(83,3,18),
(65,4,16),
(43,3,19),
(63,3,5),
(61,4,1),
(79,5,15),
(50,4,11),
(40,1,20),
(63,3,9),
(27,2,9),
(91,5,11),
(95,1,7),
(25,5,12),
(93,1,11),
(98,1,10),
(43,4,10),
(11,3,17),
(89,4,9),
(69,1,13),
(96,5,20),
(60,1,9),
(8,4,18),
(51,4,7),
(33,2,9),
(79,4,15),
(12,2,6),
(9,4,16),
(24,4,5),
(80,1,14),
(5,5,7),
(34,1,9),
(92,4,2),
(51,1,3),
(15,1,14),
(27,3,15),
(85,5,15),
(37,3,7),
(75,3,7),
(4,3,17),
(51,2,4),
(16,1,5),
(31,5,8),
(2,1,8),
(45,3,19),
(74,1,11),
(55,5,4),
(81,2,7),
(20,3,10),
(97,3,18),
(37,3,10),
(64,5,19),
(9,1,12),
(30,5,18),
(41,1,20),
(22,4,17),
(42,1,1),
(7,5,17),
(91,5,19),
(28,4,12),
(55,3,2),
(88,2,20),
(27,2,15),
(27,1,19),
(26,1,17),
(13,1,1),
(11,4,20),
(90,2,8),
(4,4,10),
(51,4,8),
(21,2,9),
(61,5,6),
(92,3,17),
(95,3,12),
(71,2,20),
(59,4,18),
(78,3,12),
(52,4,7),
(17,3,6),
(23,2,8),
(70,3,20),
(55,4,2),
(2,5,1),
(100,3,1),
(72,4,4),
(64,3,7),
(39,4,17),
(9,3,14),
(98,2,6),
(4,5,12),
(36,2,20),
(14,2,19),
(35,4,20),
(43,5,8),
(77,5,5),
(40,1,4),
(30,3,10),
(24,4,5),
(7,4,16),
(57,2,12),
(45,4,14),
(33,5,6),
(91,2,17),
(58,4,15),
(44,4,6),
(10,1,8),
(13,3,18),
(18,2,9),
(26,3,13),
(18,1,2),
(43,5,9),
(1,1,10),
(17,4,5),
(100,5,18),
(7,1,10),
(63,2,5),
(32,4,12),
(86,5,10),
(83,2,6),
(21,4,19),
(98,5,12),
(79,1,15),
(56,3,11),
(36,5,16),
(93,1,11),
(53,5,20),
(11,1,6),
(10,4,16),
(99,2,8),
(8,4,3),
(99,3,20),
(87,2,10),
(21,5,6),
(54,5,14),
(76,1,11),
(29,4,9),
(97,1,18),
(100,2,14),
(80,4,14),
(33,1,17),
(95,3,8),
(10,5,10),
(95,5,13),
(65,1,2),
(90,5,16),
