(16,1,1),
(2,3,13),
(1,3,4),
(7,2,2),
(35,3,1),
(21,5,7),
(4,3,13),
(28,2,15),
(31,4,14),
(30,2,18),
(6,2,9),
(24,4,7),
(25,5,19),
(33,1,5),
(34,3,18),
(26,1,4),
(15,5,12),
(4,1,1),
(40,4,9),
(49,2,13),
(27,3,9),
(27,3,19),
(42,5,3),
(49,3,18),
(2,1,6),
(46,2,4),
(47,3,16),
(21,4,5),
(11,1,10),
(26,4,6),
(46,2,5),
(15,1,1),
(21,1,7),
(23,1,20),
(39,2,3),
(16,3,10),
(4,5,4),
(26,3,11),
(10,3,1),
(39,5,19),
(40,2,14),
(39,3,2),
(48,5,12),
(50,3,8),
(42,1,2),
(30,3,10),
(19,2,11),
(25,2,14),
(23,4,15),
(4,1,8),
(38,4,16),
(5,5,2),
(6,3,13),
(19,3,13),
(50,3,19),
(1,4,20),
(35,1,18),
(3,3,2),
(21,4,9),
(8,5,19),
(5,2,11),
(10,5,10),
(26,2,5),
(33,3,18),
(15,5,10),
(35,4,17),
(15,5,15),
(46,5,5),
(30,3,5),
(8,1,3),
(36,4,19),
(13,2,13),
(41,3,9),
(35,5,6),
(39,5,6),
(11,3,11),
(46,4,11),
(45,3,20),
(14,2,1),
(21,5,5),
(28,5,18),
(25,1,17),
(25,5,13),
(50,1,8),
(32,2,3),
(22,3,15),
(8,3,1),
(37,3,13),
(49,5,17),
(19,4,10),
(17,5,16),
(28,1,7),
(17,2,2),
(42,1,1),
(10,5,15),
(23,3,14),
(9,1,1),
(20,3,2),
(49,1,19),
(6,5,10),
